Mon,Tue,Wed,Thu,Date,Jan,Feb,Mar,Apr,May,Month,Year,Stormy,Mixed,p,q,Rainy,Cold,Wind
1,0,0,0,2,0,0,0,0,0,12,91,1,0,-0.4307829,8.994421,1,0,2.995732
0,1,0,0,3,0,0,0,0,0,12,91,1,0,0.0,7.707063,0,0,2.995732
0,0,1,0,4,0,0,0,0,0,12,91,0,1,0.0723207,8.350194,1,1,2.813411
0,0,0,1,5,0,0,0,0,0,12,91,1,0,0.247139,8.656955,0,1,3.036554
0,0,0,0,6,0,0,0,0,0,12,91,1,0,0.6643268,7.844241,0,1,3.036554
1,0,0,0,9,0,0,0,0,0,12,91,0,0,-0.2065143,9.301277,0,0,2.762117
0,1,0,0,10,0,0,0,0,0,12,91,0,1,-0.1158318,8.920656,0,0,2.762117
0,0,1,0,11,0,0,0,0,0,12,91,0,0,-0.2598674,9.105979,1,0,2.762117
0,0,0,1,12,0,0,0,0,0,12,91,0,1,-0.1171254,8.307706,0,0,2.762117
0,0,0,0,13,0,0,0,0,0,12,91,0,0,-0.3420761,9.20954,0,0,2.590267
1,0,0,0,16,0,0,0,0,0,12,91,1,0,-0.1255632,8.552561,0,1,3.149883
0,1,0,0,17,0,0,0,0,0,12,91,1,0,0.027399,8.523175,0,1,3.218876
0,0,1,0,18,0,0,0,0,0,12,91,1,0,-0.0712275,8.865453,0,1,3.184974
0,0,0,1,19,0,0,0,0,0,12,91,1,0,0.1230601,9.186355,0,1,3.113515
0,0,0,0,20,0,0,0,0,0,12,91,1,0,0.2130932,8.699348,0,1,3.149883
1,0,0,0,23,0,0,0,0,0,12,91,0,1,-0.3172045,9.408863,0,1,2.953173
0,1,0,0,24,0,0,0,0,0,12,91,0,1,-0.1088388,8.150179,0,1,3.036554
0,0,0,1,26,0,0,0,0,0,12,91,0,1,0.2231435,6.703188,0,1,2.953173
0,0,0,0,27,0,0,0,0,0,12,91,0,0,0.2464593,8.798907,0,1,2.862201
1,0,0,0,30,0,0,0,0,0,12,91,0,0,-0.075431,9.565214,1,1,2.70805
0,1,0,0,31,0,0,0,0,0,12,91,0,0,0.2055992,8.297792,1,1,2.862201
0,0,0,1,2,1,0,0,0,0,1,92,0,0,0.2188098,8.320935,0,0,2.813411
0,0,0,0,3,1,0,0,0,0,1,92,0,0,0.307025,8.884887,0,0,2.456736
1,0,0,0,6,1,0,0,0,0,1,92,1,0,0.399592,9.336444,0,0,3.314186
0,1,0,0,7,1,0,0,0,0,1,92,1,0,0.4969802,8.122668,0,1,3.344039
0,0,1,0,8,1,0,0,0,0,1,92,1,0,0.3968258,8.15191,0,1,3.036554
0,0,0,1,9,1,0,0,0,0,1,92,0,1,0.2830518,9.51834,0,1,2.813411
0,0,0,0,10,1,0,0,0,0,1,92,0,1,0.2263384,8.567886,1,0,2.650892
1,0,0,0,13,1,0,0,0,0,1,92,0,1,-0.0723207,9.386811,0,0,2.908721
0,1,0,0,14,1,0,0,0,0,1,92,0,1,-0.1545295,8.628735,0,0,2.813411
0,0,1,0,15,1,0,0,0,0,1,92,1,0,0.2363888,7.727535,1,1,2.995732
0,0,0,1,16,1,0,0,0,0,1,92,1,0,0.1718503,8.453188,0,1,3.113515
0,0,0,0,17,1,0,0,0,0,1,92,1,0,0.1541506,7.156956,1,1,3.218876
1,0,0,0,20,1,0,0,0,0,1,92,1,0,0.0350913,6.363028,0,1,3.075775
0,1,0,0,21,1,0,0,0,0,1,92,0,1,0.218131,7.313221,1,1,3.075775
0,0,1,0,22,1,0,0,0,0,1,92,0,0,-0.0624355,8.39163,0,1,2.908721
0,0,0,1,23,1,0,0,0,0,1,92,0,0,-0.4418328,9.188503,0,0,2.70805
0,0,0,0,24,1,0,0,0,0,1,92,0,0,-0.7699343,9.318297,1,0,2.862201
1,0,0,0,27,1,0,0,0,0,1,92,1,0,-0.7391911,8.363809,1,1,3.113515
0,1,0,0,28,1,0,0,0,0,1,92,0,1,-0.7230001,8.621193,0,1,2.862201
0,0,1,0,29,1,0,0,0,0,1,92,0,0,-0.5184302,8.144679,0,1,2.813411
0,0,0,1,30,1,0,0,0,0,1,92,0,0,-0.5533853,8.710784,0,1,2.650892
0,0,0,0,31,1,0,0,0,0,1,92,0,0,-0.5590724,8.417373,0,0,2.650892
1,0,0,0,3,0,1,0,0,0,2,92,1,0,-0.4238143,9.017968,0,1,3.251666
0,1,0,0,4,0,1,0,0,0,2,92,1,0,-0.7731899,7.528332,0,1,3.283414
0,0,1,0,5,0,1,0,0,0,2,92,1,0,-0.2040953,7.154615,0,1,3.075775
0,0,0,1,6,0,1,0,0,0,2,92,1,0,0.3841877,8.487764,0,1,3.075775
0,0,0,0,7,0,1,0,0,0,2,92,0,1,0.3479887,8.979543,0,1,2.953173
1,0,0,0,10,0,1,0,0,0,2,92,1,0,0.3229889,8.744328,0,1,3.036554
0,1,0,0,11,0,1,0,0,0,2,92,1,0,0.4345259,7.893572,0,1,2.953173
0,0,1,0,12,0,1,0,0,0,2,92,1,0,0.2000211,8.5923,0,1,2.908721
0,0,0,1,13,0,1,0,0,0,2,92,0,1,-0.0071685,9.035987,0,1,2.862201
0,0,0,0,14,0,1,0,0,0,2,92,0,1,-0.4744579,9.525735,0,1,2.862201
0,1,0,0,18,0,1,0,0,0,2,92,0,0,-0.7711087,9.773094,0,1,2.862201
0,0,1,0,19,0,1,0,0,0,2,92,0,1,-1.094774,8.158802,0,0,2.813411
0,0,0,1,20,0,1,0,0,0,2,92,0,0,-0.8602012,8.677609,0,0,2.70805
0,0,0,0,21,0,1,0,0,0,2,92,0,1,-0.597837,9.034796,0,0,2.762117
1,0,0,0,24,0,1,0,0,0,2,92,0,0,-0.567984,8.375629,0,1,2.525729
0,1,0,0,25,0,1,0,0,0,2,92,0,0,-0.7711087,7.649693,0,1,2.590267
0,0,1,0,26,0,1,0,0,0,2,92,0,1,-0.2724146,7.853605,0,1,2.862201
0,0,0,1,27,0,1,0,0,0,2,92,1,0,0.1849223,7.955074,1,1,2.953173
0,0,0,0,28,0,1,0,0,0,2,92,1,0,0.20676,8.73069,0,0,2.908721
1,0,0,0,2,0,0,1,0,0,3,92,0,1,0.074108,8.633197,0,0,2.908721
0,1,0,0,3,0,0,1,0,0,3,92,1,0,-0.0071685,8.796339,0,1,2.908721
0,0,1,0,4,0,0,1,0,0,3,92,0,1,-0.2548923,8.994048,0,0,2.762117
0,0,0,1,5,0,0,1,0,0,3,92,0,1,-0.2364898,9.22375,0,0,2.650892
0,0,0,0,6,0,0,1,0,0,3,92,0,0,-0.4848501,8.568457,0,0,2.590267
1,0,0,0,9,0,0,1,0,0,3,92,0,1,-0.8119307,9.981374,0,0,2.862201
0,1,0,0,10,0,0,1,0,0,3,92,0,1,-0.4780358,9.172119,0,0,2.813411
0,0,1,0,11,0,0,1,0,0,3,92,0,1,-0.2301122,8.116715,0,1,2.762117
0,0,0,1,12,0,0,1,0,0,3,92,1,0,-0.2887938,9.241354,1,1,3.075775
0,0,0,0,13,0,0,1,0,0,3,92,1,0,-0.3409266,8.016318,0,1,3.283414
1,0,0,0,16,0,0,1,0,0,3,92,0,0,-0.4812668,9.646011,0,1,2.862201
0,1,0,0,17,0,0,1,0,0,3,92,0,0,-0.5817336,9.168476,0,1,2.813411
0,0,1,0,18,0,0,1,0,0,3,92,0,1,-0.0370413,7.44132,0,1,2.908721
0,0,0,1,19,0,0,1,0,0,3,92,0,0,0.0746435,8.61432,0,1,2.813411
0,0,0,0,20,0,0,1,0,0,3,92,1,0,-0.5268259,8.902047,1,1,3.075775
1,0,0,0,23,0,0,1,0,0,3,92,0,0,-0.1123292,7.857481,0,1,2.590267
0,1,0,0,24,0,0,1,0,0,3,92,0,1,-0.2376716,8.228177,0,1,2.762117
0,0,1,0,25,0,0,1,0,0,3,92,0,1,-0.4243931,7.986165,0,1,2.762117
0,0,0,1,26,0,0,1,0,0,3,92,0,1,-0.4828126,9.395989,0,0,2.862201
0,0,0,0,27,0,0,1,0,0,3,92,0,1,-0.1923718,7.711997,0,0,2.862201
1,0,0,0,30,0,0,1,0,0,3,92,1,0,0.1823216,7.705263,0,0,3.401197
0,1,0,0,31,0,0,1,0,0,3,92,1,0,0.2876821,7.013916,0,0,3.184974
0,0,1,0,1,0,0,0,1,0,4,92,0,1,-0.1873341,8.492901,1,0,2.953173
0,0,0,1,2,0,0,0,1,0,4,92,0,0,-0.4404448,9.333443,0,0,2.590267
0,0,0,0,3,0,0,0,1,0,4,92,0,0,-0.567984,9.578795,1,1,2.862201
1,0,0,0,6,0,0,0,1,0,4,92,0,0,-0.3873608,8.975504,0,0,2.813411
0,1,0,0,7,0,0,0,1,0,4,92,0,0,-0.5108256,7.28961,0,0,2.70805
0,0,1,0,8,0,0,0,1,0,4,92,0,0,-0.6149098,9.415728,0,0,2.70805
0,0,0,1,9,0,0,0,1,0,4,92,0,0,-0.3876929,8.740336,0,0,2.650892
0,0,0,0,10,0,0,0,1,0,4,92,0,0,-0.3716677,8.584852,0,0,2.650892
1,0,0,0,13,0,0,0,1,0,4,92,0,0,-0.3101549,8.657825,0,1,2.862201
0,1,0,0,14,0,0,0,1,0,4,92,0,0,-0.3502024,7.383989,0,0,2.995732
0,0,1,0,15,0,0,0,1,0,4,92,0,0,-0.2231435,6.194406,0,0,2.762117
0,0,0,1,16,0,0,0,1,0,4,92,0,0,-0.3119048,9.187583,0,0,2.525729
0,0,0,0,17,0,0,0,1,0,4,92,0,0,-0.2258646,8.779557,1,0,2.456736
0,1,0,0,21,0,0,0,1,0,4,92,0,0,-0.2842691,9.261033,0,0,2.590267
0,0,1,0,22,0,0,0,1,0,4,92,0,0,-0.0971638,8.294049,0,0,2.525729
0,0,0,1,23,0,0,0,1,0,4,92,0,0,-0.1419181,8.737132,1,0,2.650892
0,0,0,0,24,0,0,0,1,0,4,92,0,0,-0.5364382,9.651816,0,0,2.650892
1,0,0,0,27,0,0,0,1,0,4,92,0,0,-0.4596867,8.552561,0,0,2.650892
0,1,0,0,28,0,0,0,1,0,4,92,0,0,-0.4866114,8.163371,0,0,2.590267
0,0,1,0,29,0,0,0,1,0,4,92,0,0,-0.7603559,8.663024,0,0,2.525729
0,0,0,1,30,0,0,0,1,0,4,92,0,0,-0.8931236,9.099409,0,0,2.525729
0,0,0,0,1,0,0,0,0,1,5,92,0,0,-1.107745,9.014325,0,0,2.525729
1,0,0,0,4,0,0,0,0,1,5,92,0,0,-0.7985078,8.610683,0,0,2.862201
0,1,0,0,5,0,0,0,0,1,5,92,0,1,-0.0870114,7.162397,0,0,2.908721
0,0,1,0,6,0,0,0,0,1,5,92,0,1,0.1849223,7.36201,0,0,2.862201
0,0,0,1,7,0,0,0,0,1,5,92,0,1,0.2231435,8.764053,0,0,2.813411
0,0,0,0,8,0,0,0,0,1,5,92,0,1,0.5611184,8.328451,0,0,2.862201
