Round,Regret
1,48.193548387096776
2,96.38709677419355
3,144.58064516129033
4,192.7741935483871
5,240.96774193548387
6,289.16129032258067
7,337.35483870967744
8,385.5483870967742
9,433.741935483871
10,481.93548387096774
11,530.1290322580645
12,578.3225806451613
13,626.516129032258
14,674.7096774193549
15,722.9032258064516
16,771.0967741935484
17,819.2903225806452
18,771.483870967742
19,819.6774193548388
20,867.8709677419355
21,916.0645161290323
22,964.258064516129
23,1012.4516129032259
24,1060.6451612903227
25,1108.8387096774195
26,1157.032258064516
27,1205.225806451613
28,1253.4193548387098
29,1301.6129032258066
30,1349.8064516129032
31,1398.0
32,1446.1935483870968
33,1494.3870967741937
34,1542.5806451612905
35,1590.774193548387
36,1638.967741935484
37,1687.1612903225807
38,1735.3548387096776
39,1783.5483870967741
40,1831.741935483871
41,1879.9354838709678
42,1859.1290322580646
43,1907.3225806451615
44,1955.516129032258
45,2003.709677419355
46,2051.9032258064517
47,2100.0967741935483
48,2148.2903225806454
49,2196.483870967742
50,2244.677419354839
51,2292.8709677419356
52,2341.064516129032
53,2389.2580645161293
54,2437.451612903226
55,2485.6451612903224
56,2533.8387096774195
57,2582.032258064516
58,2630.225806451613
59,2678.4193548387098
60,2726.6129032258063
61,2774.8064516129034
62,2823.0
63,2871.193548387097
64,2919.3870967741937
65,2967.5806451612902
66,2944.7741935483873
67,2992.967741935484
68,3041.161290322581
69,3089.3548387096776
70,3137.548387096774
71,3185.741935483871
72,3165.935483870968
73,3179.129032258065
74,3195.3225806451615
75,3194.516129032258
76,3237.709677419355
77,3188.9032258064517
78,3199.0967741935483
79,3238.2903225806454
80,3256.483870967742
81,3240.677419354839
82,3269.8709677419356
83,3298.064516129032
84,3281.2580645161293
85,3239.4516129032263
86,3203.645161290323
87,3200.8387096774195
88,3181.032258064516
89,3205.2258064516127
90,3246.41935483871
91,3260.612903225807
92,3246.8064516129034
93,3252.0
94,3294.1935483870966
95,3300.387096774194
96,3253.5806451612907
97,3276.7741935483873
98,3241.967741935484
99,3277.1612903225805
100,3325.354838709678
