round,arm_pulled,reward,cum_reward
1,0,64,64
2,1,66,130
3,2,47,177
4,3,84,261
5,4,58,319
6,5,25,344
7,6,52,396
8,7,78,474
9,8,80,554
10,9,92,646
11,10,17,663
12,11,17,680
13,12,63,743
14,13,33,776
15,14,96,872
16,15,79,951
17,16,4,955
18,17,39,994
19,18,50,1044
20,19,83,1127
21,20,3,1130
22,21,13,1143
23,22,2,1145
24,23,59,1204
25,0,54,1258
26,1,50,1308
27,2,53,1361
28,3,19,1380
29,4,26,1406
30,5,30,1436
31,6,64,1500
32,7,11,1511
33,8,87,1598
34,9,1,1599
35,10,97,1696
36,11,48,1744
37,12,25,1769
38,13,76,1845
39,14,94,1939
40,15,34,1973
41,16,77,2050
42,17,67,2117
43,18,97,2214
44,19,98,2312
45,20,85,2397
46,21,31,2428
47,22,21,2449
48,23,43,2492
49,0,81,2573
50,1,1,2574
51,2,97,2671
52,3,58,2729
53,4,52,2781
54,5,81,2862
55,6,75,2937
56,7,11,2948
57,8,67,3015
58,9,89,3104
59,10,43,3147
60,11,7,3154
61,12,32,3186
62,13,39,3225
63,14,64,3289
64,15,81,3370
65,16,7,3377
66,17,98,3475
67,18,66,3541
68,19,32,3573
69,20,3,3576
70,21,78,3654
71,22,34,3688
72,23,5,3693
73,14,89,3782
74,14,27,3809
75,14,22,3831
76,14,90,3921
77,14,18,3939
78,14,9,3948
79,14,68,4016
80,14,24,4040
81,14,10,4050
82,14,54,4104
83,14,0,4104
84,14,29,4133
85,14,90,4223
86,14,59,4282
87,14,66,4348
88,14,2,4350
89,14,65,4415
90,14,97,4512
91,14,13,4525
92,14,22,4547
93,14,44,4591
94,14,83,4674
95,14,34,4708
96,14,33,4741
97,14,58,4799
98,14,53,4852
99,14,96,4948
100,14,43,4991
