round,arm_pulled,reward,cum_reward,regret
1,0,9,9,15.633818589025754
2,10,17,26,23.26763717805151
3,9,18,44,29.901455767077266
4,4,18,62,36.53527435610302
5,19,7,69,54.16909294512877
6,21,23,92,55.80291153415453
7,21,19,111,61.43673012318027
8,10,22,133,64.07054871220603
9,20,18,151,70.7043673012318
10,7,14,165,81.33818589025753
11,20,21,186,84.97200447928327
12,23,17,203,92.60582306830906
13,3,16,219,101.2396416573348
14,18,11,230,114.87346024636054
15,20,25,255,114.50727883538633
16,21,28,283,111.14109742441207
17,9,25,308,110.7749160134378
18,15,25,333,110.4087346024636
19,15,16,349,119.04255319148933
20,23,13,362,130.67637178051507
21,21,25,387,130.3101903695408
22,9,20,407,134.94400895856654
23,2,15,422,144.5778275475924
24,2,21,443,148.21164613661813
25,2,26,469,146.84546472564386
26,6,15,484,156.4792833146696
27,20,14,498,167.11310190369534
28,21,30,528,161.74692049272107
29,21,21,549,165.38073908174692
30,11,10,559,180.01455767077266
31,23,13,572,191.6483762597984
32,21,25,597,191.28219484882413
33,21,35,632,180.91601343784987
34,10,23,655,182.5498320268756
35,3,20,675,187.18365061590134
36,22,5,680,206.8174692049272
37,22,9,689,222.45128779395293
38,21,26,715,221.08510638297867
39,10,23,738,222.7189249720044
40,18,19,757,228.35274356103014
41,21,17,774,235.98656215005587
42,21,23,797,237.6203807390816
43,13,24,821,238.25419932810746
44,11,13,834,249.88801791713308
45,11,11,845,263.52183650615893
46,11,11,856,277.1556550951848
47,3,22,878,279.7894736842104
48,2,23,901,281.42329227323626
49,21,26,927,280.0571108622619
50,18,10,937,294.69092945128773
51,21,25,962,294.32474804031335
52,13,29,991,289.9585666293392
53,7,12,1003,302.59238521836505
54,13,18,1021,309.2262038073907
55,21,25,1046,308.8600223964165
56,6,17,1063,316.49384098544215
57,20,25,1088,316.127659574468
58,21,21,1109,319.76147816349385
59,8,9,1118,335.39529675251947
60,15,26,1144,334.0291153415453
61,21,15,1159,343.66293393057094
62,3,19,1178,349.2967525195968
63,9,19,1197,354.9305711086224
