round,arm_pulled,reward,cum_reward,regret
1,7,13,13,3.9939698492462306
2,12,8,21,12.987939698492461
3,7,19,40,10.981909547738695
4,7,18,58,9.975879396984922
5,7,18,76,8.96984924623115
6,7,16,92,9.96381909547739
7,7,11,103,15.957788944723617
8,7,18,121,14.951758793969844
9,7,18,139,13.945728643216086
10,7,16,155,14.939698492462298
11,7,16,171,15.93366834170854
12,7,22,193,10.92763819095478
13,7,15,208,12.921608040200994
14,7,13,221,16.915577889447235
15,7,24,245,9.909547738693448
16,7,20,265,6.903517587939689
17,7,23,288,0.89748743718593
18,7,12,300,5.891457286432171
19,7,15,315,7.885427135678356
20,7,15,330,9.879396984924597
21,7,25,355,1.873366834170838
22,11,15,370,3.8673366834170793
23,7,20,390,0.8613065326633205
24,7,19,409,-1.1447236180904383
25,7,8,417,7.849246231155746
26,7,21,438,3.8432160804019873
27,7,12,450,8.837185929648228
28,7,15,465,10.83115577889447
29,7,14,479,13.82512562814071
30,7,20,499,10.819095477386895
31,7,23,522,4.8130653266331365
32,7,15,537,6.807035175879378
33,7,19,556,4.801005025125619
34,7,19,575,2.79497487437186
35,7,9,584,10.788944723618101
36,7,17,601,10.782914572864343
37,7,13,614,14.776884422110584
38,7,18,632,13.770854271356711
39,7,13,645,17.764824120602952
40,7,15,660,19.758793969849194
41,7,17,677,19.752763819095435
42,7,21,698,15.746733668341676
43,7,20,718,12.740703517587917
44,7,16,734,13.734673366834159
45,7,24,758,6.7286432160804
46,7,12,770,11.722613065326641
47,7,13,783,15.716582914572882
48,7,20,803,12.710552763819123
49,7,11,814,18.70452261306525
50,7,11,825,24.698492462311492
51,7,24,849,17.692462311557733
52,7,14,863,20.686432160803975
53,7,14,877,23.680402010050216
54,7,16,893,24.674371859296457
55,18,13,906,28.668341708542698
56,7,8,914,37.66231155778894
57,7,13,927,41.65628140703518
58,7,18,945,40.65025125628142
59,7,18,963,39.64422110552755
60,7,23,986,33.63819095477379
61,7,22,1008,28.63216080402003
62,7,15,1023,30.626130653266273
63,7,20,1043,27.620100502512514
64,7,24,1067,20.614070351758755
65,7,15,1082,22.608040201004997
66,7,18,1100,21.602010050251238
67,7,21,1121,17.59597989949748
68,7,16,1137,18.58994974874372
69,7,17,1154,18.58391959798996
70,7,12,1166,23.577889447236203
71,7,14,1180,26.571859296482444
72,7,20,1200,23.565829145728685
73,7,13,1213,27.559798994974926
74,7,17,1230,27.553768844221167
75,7,20,1250,24.54773869346718
76,7,16,1266,25.541708542713423
77,7,22,1288,20.535678391959664
78,7,18,1306,19.529648241205905
79,7,16,1322,20.523618090452146
80,7,15,1337,22.517587939698387
81,7,23,1360,16.51155778894463
82,7,13,1373,20.50552763819087
83,7,26,1399,11.499497487437111
84,7,16,1415,12.493467336683352
85,7,12,1427,17.487437185929593
86,7,17,1444,17.481407035175835
87,7,21,1465,13.475376884422076
88,7,11,1476,19.469346733668317
89,7,13,1489,23.46331658291456
90,7,21,1510,19.4572864321608
91,7,14,1524,22.45125628140704
92,7,12,1536,27.445226130653282
93,7,13,1549,31.439195979899523
94,7,22,1571,26.433165829145764
95,7,14,1585,29.427135678392006
96,7,9,1594,37.42110552763825
97,7,21,1615,33.41507537688426
98,7,17,1632,33.4090452261305
99,7,17,1649,33.40301507537674
100,7,17,1666,33.396984924622984
101,7,13,1679,37.390954773869225
102,7,13,1692,41.38492462311547
103,7,14,1706,44.37889447236171
104,7,25,1731,36.37286432160795
105,7,20,1751,33.36683417085419
106,7,17,1768,33.36080402010043
107,7,21,1789,29.354773869346673
108,7,24,1813,22.348743718592914
109,7,20,1833,19.342713567839155
110,7,17,1850,19.336683417085396
111,7,18,1868,18.330653266331637
112,7,18,1886,17.32462311557788
113,7,21,1907,13.31859296482412
114,7,15,1922,15.312562814070361
