round,arm_pulled,reward,cum_reward,regret
1,6,13,13,7.907258064516128
2,5,18,31,10.814516129032256
3,1,9,40,22.721774193548384
4,5,21,61,22.629032258064512
5,20,24,85,19.53629032258064
6,20,23,108,17.44354838709677
7,20,21,129,17.350806451612897
8,20,19,148,19.258064516129025
9,22,4,152,36.16532258064515
10,20,24,176,33.07258064516128
11,20,29,205,24.97983870967741
12,20,21,226,24.887096774193537
13,18,16,242,29.794354838709637
14,20,17,259,33.701612903225794
15,20,21,280,33.60887096774195
16,20,19,299,35.51612903225805
17,20,23,322,33.42338709677415
18,20,18,340,36.330645161290306
19,20,21,361,36.23790322580646
20,20,18,379,39.14516129032256
21,20,18,397,42.05241935483866
22,20,18,415,44.95967741935482
23,20,21,436,44.866935483870975
24,20,19,455,46.774193548387075
25,20,23,478,44.681451612903174
26,20,16,494,49.588709677419274
27,20,17,511,53.49596774193549
28,20,18,529,56.40322580645159
29,20,22,551,55.31048387096769
30,20,17,568,59.2177419354839
31,20,22,590,58.125
32,20,26,616,53.0322580645161
33,20,17,633,56.9395161290322
34,20,12,645,65.8467741935483
35,20,19,664,67.75403225806451
36,20,20,684,68.66129032258061
37,20,16,700,73.56854838709671
38,20,14,714,80.47580645161293
39,20,24,738,77.38306451612902
40,20,23,761,75.29032258064512
41,20,21,782,75.19758064516122
42,20,23,805,73.10483870967732
43,20,20,825,74.01209677419354
44,20,24,849,70.91935483870964
45,20,21,870,70.82661290322574
46,20,29,899,62.73387096774195
47,20,26,925,57.64112903225805
48,20,17,942,61.54838709677415
49,20,17,959,65.45564516129025
50,20,17,976,69.36290322580635
51,20,20,996,70.27016129032245
52,20,22,1018,69.17741935483855
53,20,28,1046,62.084677419354875
54,20,18,1064,64.99193548387098
55,20,17,1081,68.89919354838707
56,20,17,1098,72.80645161290317
57,20,23,1121,70.71370967741927
58,20,15,1136,76.62096774193537
59,20,32,1168,65.52822580645147
60,20,20,1188,66.4354838709678
61,20,27,1215,60.3427419354839
62,2,16,1231,65.25
63,20,20,1251,66.1572580645161
64,20,16,1267,71.0645161290322
65,20,20,1287,71.9717741935483
66,20,20,1307,72.8790322580644
67,20,26,1333,67.7862903225805
68,20,18,1351,70.6935483870966
69,20,19,1370,72.60080645161293
70,20,19,1389,74.50806451612902
71,20,13,1402,82.41532258064512
72,20,21,1423,82.32258064516122
73,20,24,1447,79.22983870967732
74,20,22,1469,78.13709677419342
75,20,27,1496,72.04435483870952
76,20,25,1521,67.95161290322585
77,20,19,1540,69.85887096774195
78,20,22,1562,68.76612903225805
79,20,23,1585,66.67338709677415
80,20,22,1607,65.58064516129025
81,20,23,1630,63.48790322580635
82,20,18,1648,66.39516129032245
83,20,20,1668,67.30241935483855
84,20,21,1689,67.20967741935465
85,20,21,1710,67.11693548387098
86,20,23,1733,65.02419354838707
87,20,16,1749,69.93145161290317
88,20,18,1767,72.83870967741927
89,20,24,1791,69.74596774193537
90,20,14,1805,76.65322580645147
91,20,20,1825,77.56048387096757
92,20,20,1845,78.4677419354839
93,20,21,1866,78.375
94,20,24,1890,75.2822580645161
95,20,23,1913,73.1895161290322
96,20,19,1932,75.0967741935483
97,20,19,1951,77.0040322580644
98,20,20,1971,77.9112903225805
99,20,23,1994,75.8185483870966
100,20,21,2015,75.7258064516127
101,20,24,2039,72.6330645161288
102,20,21,2060,72.5403225806449
103,20,23,2083,70.447580645161
104,20,21,2104,70.3548387096771
105,20,26,2130,65.26209677419365
106,20,19,2149,67.16935483870975
107,20,21,2170,67.07661290322585
108,20,26,2196,61.98387096774195
109,20,15,2211,67.89112903225805
110,20,23,2234,65.79838709677415
111,20,24,2258,62.70564516129025
112,20,11,2269,72.61290322580635
113,20,22,2291,71.52016129032245
114,20,20,2311,72.42741935483855
115,20,18,2329,75.33467741935465
116,20,14,2343,82.24193548387075
117,20,20,2363,83.14919354838685
118,20,23,2386,81.05645161290295
119,20,14,2400,87.96370967741905
120,20,15,2415,93.8709677419356
121,20,19,2434,95.7782258064517
122,20,16,2450,100.6854838709678
123,13,19,2469,102.5927419354839
124,20,30,2499,93.5
125,20,19,2518,95.4072580645161
126,20,26,2544,90.3145161290322
127,20,24,2568,87.2217741935483
128,20,18,2586,90.1290322580644
129,20,14,2600,97.0362903225805
130,20,27,2627,90.9435483870966
131,20,22,2649,89.8508064516127
132,20,22,2671,88.7580645161288
133,20,23,2694,86.6653225806449
134,20,23,2717,84.572580645161
135,20,26,2743,79.4798387096771
136,20,27,2770,73.3870967741932
137,20,26,2796,68.29435483870975
138,20,20,2816,69.20161290322585
139,20,26,2842,64.10887096774195
140,20,18,2860,67.01612903225805
141,20,21,2881,66.92338709677415
142,20,20,2901,67.83064516129025
143,20,20,2921,68.73790322580635
144,20,18,2939,71.64516129032245
145,20,25,2964,67.55241935483855
146,20,27,2991,61.45967741935465
147,20,20,3011,62.36693548387075
148,20,18,3029,65.27419354838685
149,20,23,3052,63.18145161290295
150,20,18,3070,66.08870967741905
151,20,18,3088,68.99596774193515
152,20,22,3110,67.9032258064517
153,20,21,3131,67.8104838709678
154,20,26,3157,62.7177419354839
155,20,25,3182,58.625
156,20,26,3208,53.5322580645161
157,20,20,3228,54.4395161290322
158,20,16,3244,59.3467741935483
159,20,15,3259,65.2540322580644
160,20,25,3284,61.1612903225805
161,20,26,3310,56.0685483870966
162,20,22,3332,54.9758064516127
163,20,19,3351,56.8830645161288
164,20,21,3372,56.7903225806449
165,20,24,3396,53.697580645161
166,20,24,3420,50.6048387096771
167,20,16,3436,55.512096774193196
168,20,26,3462,50.419354838709296
169,20,20,3482,51.32661290322585
170,20,16,3498,56.23387096774195
171,20,21,3519,56.14112903225805
172,20,23,3542,54.04838709677415
173,20,15,3557,59.95564516129025
174,20,19,3576,61.86290322580635
175,20,29,3605,53.77016129032245
176,20,25,3630,49.67741935483855
177,20,18,3648,52.58467741935465
178,20,20,3668,53.49193548387075
179,20,24,3692,50.39919354838685
180,20,15,3707,56.30645161290295
181,20,28,3735,49.21370967741905
182,20,24,3759,46.12096774193515
183,20,21,3780,46.028225806451246
184,20,25,3805,41.9354838709678
185,20,26,3831,36.8427419354839
186,20,18,3849,39.75
187,20,23,3872,37.6572580645161
188,20,22,3894,36.5645161290322
189,20,18,3912,39.4717741935483
190,20,22,3934,38.3790322580644
191,20,20,3954,39.2862903225805
192,20,16,3970,44.1935483870966
193,20,29,3999,36.1008064516127
194,20,25,4024,32.0080645161288
195,20,23,4047,29.915322580644897
196,20,22,4069,28.822580645160997
197,20,24,4093,25.729838709677097
198,20,25,4118,21.637096774193196
199,20,15,4133,27.544354838709296
200,20,21,4154,27.451612903225396
201,20,23,4177,25.358870967741495
202,20,14,4191,32.266129032257595
203,20,31,4222,22.173387096773695
204,20,13,4235,30.080645161289794
205,20,19,4254,31.987903225805894
206,20,23,4277,29.895161290321994
207,20,24,4301,26.802419354838094
208,20,16,4317,31.709677419354193
209,20,23,4340,29.616935483871202
210,20,24,4364,26.524193548387302
211,20,21,4385,26.431451612903402
212,20,29,4414,18.3387096774195
213,20,23,4437,16.2459677419356
214,20,20,4457,17.1532258064517
215,20,19,4476,19.0604838709678
216,20,21,4497,18.9677419354839
217,20,20,4517,19.875
218,20,26,4543,14.7822580645161
219,20,30,4573,5.689516129032199
220,20,17,4590,9.596774193548299
221,20,27,4617,3.5040322580643988
