round,arm_pulled,reward,cum_reward,regret
1,9,21,21,2.1440860215053767
2,3,19,40,6.2881720430107535
3,9,20,60,9.432258064516134
4,9,28,88,4.576344086021507
5,9,19,107,8.72043010752688
6,9,18,125,13.864516129032268
7,9,19,144,18.008602150537627
8,9,22,166,19.152688172043014
9,6,17,183,25.2967741935484
10,9,25,208,23.44086021505376
11,9,17,225,29.584946236559148
12,9,14,239,38.729032258064535
13,9,20,259,41.873118279569894
14,9,19,278,46.01720430107525
15,9,23,301,46.16129032258067
16,9,20,321,49.30537634408603
17,9,19,340,53.44946236559139
18,9,19,359,57.5935483870968
19,9,17,376,63.73763440860216
20,9,20,396,66.88172043010752
21,9,20,416,70.02580645161294
22,9,21,437,72.1698924731183
23,9,27,464,68.31397849462371
24,9,22,486,69.45806451612907
25,9,25,511,67.60215053763443
26,9,16,527,74.74623655913979
27,9,21,548,76.89032258064515
28,9,22,570,78.0344086021505
29,9,18,588,83.17849462365598
30,9,20,608,86.32258064516134
31,9,16,624,93.4666666666667
32,9,20,644,96.61075268817206
33,9,13,657,106.75483870967741
34,9,17,674,112.89892473118277
35,9,15,689,121.04301075268813
36,9,24,713,120.1870967741936
37,9,22,735,121.33118279569896
38,9,14,749,130.47526881720432
39,9,27,776,126.61935483870968
40,9,14,790,135.76344086021504
41,9,22,812,136.9075268817204
42,9,23,835,137.05161290322587
43,9,16,851,144.19569892473123
44,9,25,876,142.3397849462366
45,9,15,891,150.48387096774195
46,9,26,917,147.62795698924742
47,9,20,937,150.77204301075267
48,9,24,961,149.91612903225814
49,9,18,979,155.0602150537634
50,9,15,994,163.20430107526886
51,9,15,1009,171.3483870967741
52,9,19,1028,175.49247311827958
53,9,24,1052,174.63655913978505
54,9,17,1069,180.7806451612903
55,9,18,1087,185.92473118279577
56,9,20,1107,189.068817204301
57,9,18,1125,194.21290322580649
58,9,21,1146,196.35698924731196
59,9,20,1166,199.5010752688172
60,9,21,1187,201.64516129032268
61,9,19,1206,205.78924731182792
62,9,23,1229,205.9333333333334
63,9,18,1247,211.07741935483864
64,9,18,1265,216.2215053763441
65,9,17,1282,222.36559139784958
66,9,13,1295,232.50967741935483
67,9,14,1309,241.6537634408603
68,9,23,1332,241.79784946236555
69,9,27,1359,237.94193548387102
70,13,23,1382,238.08602150537627
71,13,23,1405,238.23010752688174
72,13,22,1427,239.3741935483872
73,13,31,1458,231.51827956989246
74,13,27,1485,227.66236559139793
75,13,22,1507,228.80645161290317
76,13,22,1529,229.95053763440865
77,13,14,1543,239.09462365591412
78,13,20,1563,242.23870967741937
79,13,23,1586,242.38279569892484
80,13,19,1605,246.52688172043008
81,13,22,1627,247.67096774193556
82,13,23,1650,247.8150537634408
83,13,25,1675,245.95913978494627
84,13,28,1703,241.10322580645175
