Pull_Number,Arm_Pulled,Reward,Cumulative_Reward,Regret
1,4,24,24,0.5473856209150334
2,4,23,47,2.094771241830067
3,4,15,62,11.642156862745097
4,4,23,85,13.189542483660134
5,4,17,102,20.73692810457517
6,4,18,120,27.284313725490193
7,4,14,134,37.83169934640523
8,4,21,155,41.37908496732027
9,7,18,173,47.926470588235304
10,4,12,185,60.47385620915034
11,4,18,203,67.02124183006538
12,4,17,220,74.56862745098039
13,4,25,245,74.11601307189545
14,4,17,262,81.66339869281046
15,4,17,279,89.21078431372553
16,4,11,290,102.75816993464053
17,4,25,315,102.30555555555554
18,23,8,323,118.85294117647061
19,18,11,334,132.40032679738562
20,4,17,351,139.94771241830068
21,4,17,368,147.4950980392157
22,22,5,373,167.04248366013076
23,18,19,392,172.58986928104582
24,4,14,406,183.13725490196077
25,4,14,420,193.68464052287584
26,7,18,438,200.2320261437909
27,7,16,454,208.77941176470586
28,4,18,472,215.32679738562092
29,23,9,481,230.874183006536
30,4,15,496,240.42156862745105
31,4,14,510,250.968954248366
32,20,19,529,256.51633986928107
33,20,20,549,261.06372549019613
34,0,13,562,272.6111111111111
35,20,16,578,281.15849673202615
36,20,21,599,284.7058823529412
37,20,23,622,286.2532679738563
38,20,19,641,291.80065359477123
39,19,4,645,312.3480392156863
40,0,5,650,331.89542483660136
41,19,6,656,350.4428104575163
42,15,21,677,353.9901960784314
43,22,13,690,365.53758169934645
44,15,20,710,370.0849673202615
45,4,18,728,376.6323529411766
46,15,23,751,378.17973856209164
47,15,22,773,380.7271241830065
48,15,28,801,377.27450980392155
49,13,25,826,376.8218954248366
50,13,19,845,382.3692810457517
51,15,25,870,381.91666666666674
52,15,30,900,376.4640522875818
53,15,38,938,363.0114379084969
54,0,5,943,382.5588235294117
55,15,22,965,385.1062091503268
56,15,21,986,388.65359477124184
57,15,24,1010,389.2009803921569
58,15,22,1032,391.748366013072
59,15,25,1057,391.29575163398704
60,15,17,1074,398.8431372549021
61,15,26,1100,397.39052287581694
62,15,22,1122,399.937908496732
63,15,20,1142,404.4852941176471
64,15,30,1172,399.03267973856214
65,10,23,1195,400.5800653594772
66,15,25,1220,400.12745098039227
67,15,19,1239,405.67483660130733
68,15,19,1258,411.2222222222222
69,11,6,1264,429.76960784313724
